ID_Produto,Nome_Produto,ID_Categoria,Marca_Produto,Num_Serie,Preco_Unit,Custo_Unit
1,"Monitor LED 19,5'' Full HD HDMI",1,DELL,MNT-DL-831923,2300,966
2,Monitor Curvo 24'' 144Hz HDMI,1,SAMSUNG,MNT-SS-001939,2800,980
3,Webcam Full HD 1080p,1,LOGITECH,WBC-LT-934GG4,450,90
4,Kit Teclado + Mouse sem fio Wireless,2,DELL,KTM-DL-041039,350,129.5
5,Kit Teclado + Mouse Slim Bluetooth,2,DELL,KTM-DL-111924,280,109.2
6,Cadeira Gamer reclinável Azul/Laranja,3,ALTURA,CGM-AL-9N914J,1800,540
7,Cadeira Gamer PC Racer Vermelha,3,ALTURA,CGM-AL-0147FI,3100,1395
8,Headphone Bluetooth 2000,4,SONY,HDP-SN-194821,600,258
9,Fone de Ouvido Tune T5000,4,JBL,HDP-JB-091934,780,327.6
10,Microfone Condensador MC1000,5,AKG,MIC-AK-237591,1100,275
11,Microfone Condensador com Tripé,5,BLUE,MIC-BL-819455,800,344
12,Microfone de mesa com fio condensador,5,BLUE,MIC-BL-761411,650,214.5
13,Notebook LC2100 Intel Core i5 8GB,6,SAMSUNG,NOT-SS-918457,3400,850
14,Notebook Inspiron 15 5000 4GB,6,DELL,NOT-DL-000012,3100,1209
15,Notebook IdeaPad RF32000,6,DELL,NOT-DL-77164I,4200,1176
16,Notebook Motion Ultra 2,6,SAMSUNG,NOT-SS-13139U,2900,1160
