_id,nome_produto,marca,descricao,foto_url,preco,avaliacao.estrelas,avaliacao.quantidade_avaliacoes,estoque,vendedor,garantia.tipo,garantia.duracao,entrega.frete_gratis,entrega.prazo_entrega,devolucao.gratuita,devolucao.prazo
1,Samsung Galaxy A25 5G Dual SIM 256GB Azul-escuro 8GB RAM,Samsung,"Smartphone Samsung Galaxy A25 5G Dual SIM 256GB Azul-escuro 8GB RAM com tela Super AMOLED de 6.5"", 3 câmeras traseiras de 50MP/8MP/2MP, câmera frontal de 13MP, processador octa-core, bateria de 5000mAh e Android 14.",C:/Hash-Commerce/catalogo/produtos/imagens/Samsung_Galaxy_A25.png,1380,4.8,1790,500,Hash-Commerce,Garantia do fabricante,12 meses,true,Calcular,true,30
2,Motorola Moto G60s 128GB Cinza-escuro 6GB RAM,Motorola,"Smartphone Motorola Moto G60s 128GB Cinza-escuro 6GB RAM com tela IPS LCD de 6.5"", câmera principal de 108MP, câmera ultrawide de 8MP, câmera macro de 5MP, câmera de profundidade de 2MP, câmera frontal de 16MP, processador octa-core, bateria de 5000mAh e Android 12.",C:/Hash-Commerce/catalogo/produtos/imagens/Motorola_Moto_G60s.png,1299,4.7,850,300,Hash-Commerce,Garantia do fabricante,12 meses,true,Calcular,true,30
3,"Notebook Lenovo IdeaPad Slim 3i Core i3 8GB RAM 256GB SSD Tela 15.6"" Windows 11 Cinza-escuro",Lenovo,"Notebook Lenovo IdeaPad Slim 3i com processador Intel Core i3, 8GB de RAM, 256GB de armazenamento SSD, tela Full HD de 15.6"", sistema operacional Windows 11 e design elegante e leve.",C:/Hash-Commerce/catalogo/produtos/imagens/Lenovo_IdeaPad_Slim_3i.png,2499,3.9,520,250,Hash-Commerce,Garantia do fabricante,12 meses,true,Calcular,true,30
4,"Smart TV Samsung Crystal UHD 4K 50"" TU8000 Series HDR Premium Wi-Fi Preto",Samsung,"Smart TV Samsung Crystal UHD 4K de 50"" da série TU8000 com HDR Premium, processador Crystal 4K, PurColor, Wi-Fi, design slim e acesso a diversos aplicativos.",C:/Hash-Commerce/catalogo/produtos/imagens/Samsung_Crystal_UHD_4K_TU8000.png,2799,4.8,1340,180,Hash-Commerce,Garantia do fabricante,12 meses,true,Calcular,,
5,Fone de Ouvido Bluetooth JBL Live 660NC Preto com Cancelamento de Ruído Ativo,JBL,"Fone de ouvido Bluetooth JBL Live 660NC com cancelamento de ruído ativo, som JBL Pure Bass, bateria de até 30 horas, design ergonômico e carregamento rápido.",C:/Hash-Commerce/catalogo/produtos/imagens/JBL_Live_660NC.png,599,4.9,2450,400,Hash-Commerce,Garantia do fabricante,6 meses,true,Calcular,true,30
6,Caixa de Som Bluetooth JBL Charge 5 Preto à prova d'água,JBL,"Caixa de som Bluetooth JBL Charge 5 à prova d'água com som JBL potente, bateria de até 20 horas, banco de energia integrado e design robusto.",C:/Hash-Commerce/catalogo/produtos/imagens/JBL_Charge_5.png,899,4.8,1820,220,Hash-Commerce,Garantia do fabricante,3 meses,true,Calcular,true,30
7,Smartwatch Samsung Galaxy Watch 4 Classic Prata com Monitoramento de Saúde,Samsung,"Smartwatch Samsung Galaxy Watch 4 Classic com tela AMOLED de 1.2"", monitoramento de saúde avançado (ECG, SpO2, sono), design elegante e compatível com Android e iOS.",C:/Hash-Commerce/catalogo/produtos/imagens/Samsung_Galaxy_Watch_4_Classic.png,1199,4.7,980,150,Hash-Commerce,Garantia do fabricante,3 meses,true,Calcular,true,30
8,"Tablet Samsung Galaxy Tab A8 10.5"" Tela Widescreen Wi-Fi 32GB Cinza-escuro",Samsung,"Tablet Samsung Galaxy Tab A8 com tela widescreen de 10.5"", processador octa-core, 3GB de RAM, 32GB de armazenamento, bateria de 7040mAh, Wi-Fi e design elegante.",C:/Hash-Commerce/catalogo/produtos/imagens/Samsung_Galaxy_Tab_A8.png,1399,4.6,480,280,Hash-Commerce,Garantia do fabricante,12 meses,true,Calcular,true,30
9,Câmera Digital Canon EOS 200D II com Lente 18-55mm IS II Kit Preto,Canon,"Câmera digital Canon EOS 200D II com sensor APS-C de 24.1MP, processador DIGIC 4+, tela LCD de 3"", Wi-Fi, Bluetooth e lente 18-55mm IS II ideal para iniciantes.",C:/Hash-Commerce/catalogo/produtos/imagens/Canon_EOS_200D_II.png,3499,4.9,1230,160,Hash-Commerce,Garantia do fabricante,6 meses,true,Calcular,true,30
10,"Notebook Gamer Acer Nitro 5 AN515-55-575Q Intel Core i5 11ª Geração 8GB RAM 512GB SSD Tela 15.6"" GeForce GTX 1650 Preto",Acer,"Notebook gamer Acer Nitro 5 com processador Intel Core i5 de 11ª geração, 8GB de RAM, 512GB de SSD, tela Full HD de 15.6"", placa de vídeo GeForce GTX 1650 e design gamer agressivo.",C:/Hash-Commerce/catalogo/produtos/imagens/Acer_Nitro_5_AN515-55-575Q.png,4999,4.7,760,100,Hash-Commerce,Garantia do fabricante,12 meses,true,Calcular,true,30
